GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
furnistore,com.furnistore.furnistore.service,OrderService,0,33,0,0,0,5,0,5,0,5
furnistore,com.furnistore.furnistore.service,CustomerService,0,33,0,0,0,6,0,5,0,5
furnistore,com.furnistore.furnistore.service,ProductService,0,33,0,0,0,6,0,5,0,5
furnistore,com.furnistore.furnistore.model,Product,30,59,0,2,14,18,8,8,8,7
furnistore,com.furnistore.furnistore.model,Order,0,71,0,2,0,20,0,10,0,9
furnistore,com.furnistore.furnistore.model,Supplier,9,24,0,0,3,8,3,2,3,2
furnistore,com.furnistore.furnistore.model,Customer,0,27,0,0,0,10,0,5,0,5
furnistore,com.furnistore.furnistore.model,Inventory,0,30,0,0,0,12,0,6,0,6
furnistore,com.furnistore.furnistore.controller,ProductController,16,13,0,0,3,4,2,2,2,2
furnistore,com.furnistore.furnistore.controller,CustomerController,0,27,0,0,0,7,0,4,0,4
furnistore,com.furnistore.furnistore.controller,OrderController,0,30,0,0,0,7,0,4,0,4
furnistore,com.furnistore.furnistore,FurnistoreApplication,5,3,0,0,2,1,1,1,1,1
